"make","price","mileage","year","location","doors","color","model"
"Mercedes-Benz",395000,"25000 ",2016,"Corniche Area, Abu Dhabi",2,"Black","GT"
"Fiat",67000,"16000 ",2020,"Abu Dhabi",4,"Blue","Fiat-500"
"Volkswagen",118000,"96000 ",2019,"Abu Dhabi",5,"Grey","GTI"
"Honda",20000,"266000 ",2009,"Al Shawamekh, Abu Dhabi",5,"Grey","CR-V"
"BMW",77000,"140000 ",2014,"Al Najda Street, Abu Dhabi",4,"Black","X5"
"BMW",165000,"74922 ",2018,"Yas Island, Abu Dhabi",4,"Black","5-Series"
"Land Rover",910000,"0 ",2023,"Al Reem Island, Abu Dhabi",4,"White","Range Rover"
"Nissan",85000,"210000 ",2014,"Abu Dhabi",4,"Black","Patrol"
"BMW",101000,"68500 ",2016,"Al Reem Island, Abu Dhabi",2,"Grey","2-Series"
"Nissan",78000,"82000 ",2018,"Al Shamkha South, Abu Dhabi",4,"White","Pathfinder"
"Mazda",73000,"34894 ",2021,"Mohammed Bin Zayed City, Abu Dhabi",4,"Blue","6"
"Nissan",51000,"66000 ",2019,"Mohammed Bin Zayed City, Abu Dhabi",5,"Grey","Rogue"
"Mitsubishi",40000,"134000 ",2014,"Zayed City (Khalifa City C), Abu Dhabi",5,"Brown","Pajero"
"Hyundai",36000,"168000 ",2014,"Zayed City (Khalifa City C), Abu Dhabi",5,"White","H1"
"Nissan",21000,"199457 ",2015,"Shakhbout City (Khalifa City B), Abu Dhabi",4,"Silver","Micra"
"Ford",20000,"184000 ",2011,"Al Shamkha, Abu Dhabi",5,"Blue","Escape"
"Dodge",375000,"1148 ",2022,"Abu Dhabi",4,"Grey","Charger"
"BMW",70000,"179000 ",2015,"Danet Abu Dhabi, Abu Dhabi",2,"Blue","4-Series"
"Ferrari",599000,"10679 ",2017,"Al Muroor, Abu Dhabi",2,"Red","California T"
"Mercedes-Benz",188000,"49000 ",2018,"Al Shawamekh, Abu Dhabi",4,"Blue","GLC"
"Toyota",420000,"1 ",2023,"Al Shawamekh, Abu Dhabi",5,"White","Land Cruiser"
"Audi",105000,"99903 ",2017,"Al Muroor, Abu Dhabi",2,"Grey","A5"
"BMW",2e+05,"86608 ",2019,"Al Muroor, Abu Dhabi",5,"White","X4"
"Peugeot",106000,"34217 ",2021,"Al Bahia, Abu Dhabi",5,"Grey","5008"
"Volkswagen",34000,"175254 ",2015,"Al Muroor, Abu Dhabi",4,"Brown","CC"
"BMW",190000,"113725 ",2020,"Al Muroor, Abu Dhabi",2,"Black","Z4"
"Mercedes-Benz",210000,"74143 ",2016,"Al Muroor, Abu Dhabi",4,"Black","S-Class"
"Mercedes-Benz",94000,"156841 ",2016,"Al Muroor, Abu Dhabi",4,"Silver","E-Class"
"Volkswagen",69000,"136506 ",2017,"Zayed City (Khalifa City C), Abu Dhabi",4,"Silver","GTI"
"Toyota",65000,"220000 ",2018,"Rabdan, Abu Dhabi",4,"Brown","Camry"
"Mazda",38000,"140959 ",2015,"Al Muroor, Abu Dhabi",4,"Silver","6"
"BMW",220000,"87514 ",2019,"Al Muroor, Abu Dhabi",5,"Black","X5"
"BMW",140650,"138551 ",2015,"Al Muroor, Abu Dhabi",2,"Orange","M4"
"Jeep",115000,"65431 ",2019,"Al Muroor, Abu Dhabi",5,"White","Grand Cherokee"
"Nissan",1e+05,"127029 ",2015,"Al Muroor, Abu Dhabi",5,"Black","Patrol"
"Mercedes-Benz",64350,"100782 ",2013,"Al Muroor, Abu Dhabi",5,"Silver","GLK-Class"
"Volkswagen",50000,"225766 ",2015,"Al Muroor, Abu Dhabi",5,"Black","Golf R"
"Mercedes-Benz",165000,"218974 ",2017,"Al Muroor, Abu Dhabi",5,"White","GLE Coupe"
"Mercedes-Benz",104000,"182764 ",2016,"Al Muroor, Abu Dhabi",5,"Silver","GLC"
"Dodge",120000,"97000 ",2017,"Al Shahama, Abu Dhabi",2,"Blue","Challenger"
"Nissan",159000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"Black","Patrol"
"Toyota",114000,"0 ",2023,"Al Shawamekh, Abu Dhabi",4,"White","Camry"
"Toyota",327000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","Land Cruiser"
"Mercedes-Benz",40000,"120000 ",2013,"Mussafah, Abu Dhabi",4,"Black","C-Class"
"Cadillac",77000,"59895 ",2014,"Al Muroor, Abu Dhabi",5,"Silver","Escalade"
"Mercedes-Benz",179999,"105293 ",2020,"Al Muroor, Abu Dhabi",4,"Grey","E-Class"
"Ford",55000,"14375 ",2018,"Al Muroor, Abu Dhabi",5,"Blue","Focus"
"Audi",69000,"194792 ",2014,"Al Muroor, Abu Dhabi",4,"Silver","S8"
"Mercedes-Benz",475000,"8204 ",2022,"Al Muroor, Abu Dhabi",5,"White","GLS-Class"
"Audi",30000,"163581 ",2012,"Al Muroor, Abu Dhabi",4,"Silver","A5"
"Infiniti",58000,"99382 ",2014,"Al Muroor, Abu Dhabi",5,"Red","QX60"
"Audi",89700,"123544 ",2014,"Al Muroor, Abu Dhabi",4,"Black","S7/RS7"
"Mercedes-Benz",215000,"95333 ",2018,"Al Muroor, Abu Dhabi",5,"White","GLE Coupe"
"Mercedes-Benz",88000,"107936 ",2014,"Al Muroor, Abu Dhabi",5,"Silver","GL-Class"
"Mercedes-Benz",290000,"17398 ",2018,"Al Muroor, Abu Dhabi",4,"Grey","S-Class"
"Audi",45900,"147000 ",2012,"Al Matar, Abu Dhabi",4,"Blue","A6"
"Land Rover",160000,"118502 ",2015,"Al Muroor, Abu Dhabi",5,"White","Range Rover"
"Jeep",35500,"209120 ",2013,"Al Muroor, Abu Dhabi",5,"Black","Grand Cherokee"
"Jeep",114000,"68181 ",2018,"Al Muroor, Abu Dhabi",3,"Black","Wrangler"
"Land Rover",89900,"134266 ",2017,"Al Matar, Abu Dhabi",4,"White","Discovery Sport"
"Lexus",99999,"137552 ",2011,"Al Muroor, Abu Dhabi",5,"Silver","LX-Series"
"Ford",29000,"180613 ",2012,"Al Muroor, Abu Dhabi",5,"Black","Edge"
"Land Rover",149999,"146813 ",2015,"Al Muroor, Abu Dhabi",5,"Black","Range Rover Sport"
"Nissan",64900,"125458 ",2015,"Al Matar, Abu Dhabi",5,"Red","X-Trail"
"Audi",95000,"54747 ",2017,"Al Muroor, Abu Dhabi",4,"Silver","A4"
"Nissan",77999,"177965 ",2013,"Al Muroor, Abu Dhabi",5,"White","Patrol"
"Land Rover",62900,"130100 ",2013,"Al Matar, Abu Dhabi",4,"Black","LR4"
"Porsche",120000,"179847 ",2016,"Al Muroor, Abu Dhabi",5,"White","Macan"
"Mitsubishi",79900,"72300 ",2020,"Al Matar, Abu Dhabi",4,"Silver","EclipseCross"
"BMW",52000,"180375 ",2013,"Al Muroor, Abu Dhabi",4,"Silver","6-Series"
"Bentley",217125,"76740 ",2014,"Al Muroor, Abu Dhabi",2,"Silver","Continental GT"
"Land Rover",75000,"90081 ",2015,"Yas Island, Abu Dhabi",5,"White","Discovery"
"BMW",138000,"95613 ",2016,"Al Muroor, Abu Dhabi",4,"Silver","7-Series"
"Mitsubishi",79900,"58560 ",2020,"Al Matar, Abu Dhabi",4,"Black","EclipseCross"
"Tesla",175000,"83042 ",2020,"Al Muroor, Abu Dhabi",4,"Black","Model 3"
"Jeep",123000,"72974 ",2018,"Al Muroor, Abu Dhabi",5,"Silver","Grand Cherokee"
"BMW",106322,"126446 ",2013,"Al Muroor, Abu Dhabi",4,"Silver","M5"
"Jaguar",230000,"29837 ",2021,"Al Muroor, Abu Dhabi",5,"White","F-Pace"
"BMW",36500,"150251 ",2010,"Al Muroor, Abu Dhabi",2,"Grey","Z4"
"Nissan",35000,"247679 ",2014,"Al Muroor, Abu Dhabi",5,"White","Pathfinder"
"Ford",49999,"145989 ",2016,"Al Muroor, Abu Dhabi",5,"Black","Edge"
"Land Rover",149999,"150252 ",2016,"Al Muroor, Abu Dhabi",5,"Brown","Range Rover Sport"
"GMC",92000,"167669 ",2015,"Al Muroor, Abu Dhabi",4,"White","Sierra"
"Land Rover",193000,"75339 ",2016,"Al Muroor, Abu Dhabi",5,"Red","Range Rover Sport"
"BMW",173500,"107104 ",2018,"Al Muroor, Abu Dhabi",5,"Purple","X3"
"Mercedes-Benz",150000,"86339 ",2017,"Al Muroor, Abu Dhabi",4,"Silver","E-Class"
"Land Rover",44000,"202008 ",2013,"Al Muroor, Abu Dhabi",5,"Grey","Range Rover Sport"
"Audi",55000,"170488 ",2016,"Al Muroor, Abu Dhabi",4,"Grey","A6"
"Nissan",207000,"37755 ",2021,"Al Muroor, Abu Dhabi",5,"White","Patrol"
"BMW",57000,"178818 ",2013,"Al Muroor, Abu Dhabi",2,"Blue","6-Series"
"BMW",86000,"85765 ",2015,"Al Muroor, Abu Dhabi",4,"Blue","5-Series"
"Land Rover",230000,"107351 ",2016,"Al Muroor, Abu Dhabi",5,"White","Range Rover"
"Chevrolet",57000,"63346 ",2017,"Abu Dhabi Gate City (Officers City), Abu Dhabi",5,"White","Traverse"
"BMW",399000,"27707 ",2020,"Al Muroor, Abu Dhabi",4,"White","M850i"
"Audi",230000,"96839 ",2019,"Al Muroor, Abu Dhabi",4,"Black","A8"
"Porsche",77500,"162835 ",2010,"Al Muroor, Abu Dhabi",4,"White","Panamera"
"Jeep",62000,"149049 ",2014,"Al Muroor, Abu Dhabi",3,"Black","Wrangler"
"Honda",72500,"131655 ",2017,"Al Muroor, Abu Dhabi",5,"Blue","Pilot"
"Mercedes-Benz",90000,"106228 ",2014,"Al Muroor, Abu Dhabi",5,"White","M-Class"
"Hyundai",43000,"95412 ",2015,"Al Muroor, Abu Dhabi",2,"Black","Genesis"
"Toyota",73500,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","Corolla"
