"make","price","mileage","year","location","doors","color","model"
"Toyota",24000,"288000 ",2010,"Mussafah, Abu Dhabi",4,"Grey","Corolla"
"Tesla",235000,"10000 ",2022,"Abu Dhabi",4,"Black","Model 3"
"BMW",30000,"300000 ",2010,"Zayed City (Khalifa City C), Abu Dhabi",4,"White","X5"
"Hyundai",71500,"69000 ",2019,"Al Reem Island, Abu Dhabi",4,"Grey","Kona"
"Hyundai",87500,"69500 ",2020,"Abu Dhabi",4,"White","Tucson"
"Hyundai",79500,"57000 ",2018,"Al Reem Island, Abu Dhabi",4,"White","Tucson"
"Ford",51000,"375000 ",2013,"Yas Island, Abu Dhabi",4,"Black","F-Series Pickup"
"Mercedes-Benz",84000,"109000 ",2014,"Al Reem Island, Abu Dhabi",4,"White","M-Class"
"Mercedes-Benz",46000,"149000 ",2009,"Abu Dhabi",4,"White","S-Class"
"Jeep",79000,"106000 ",2014,"Tourist Club Area (TCA), Abu Dhabi",4,"Black","Grand Cherokee"
"Toyota",125000,"165000 ",2017,"Abu Dhabi",5,"White","Prado"
"Lexus",49000,"209000 ",2014,"Abu Dhabi",4,"Black","IS-Series"
"Nissan",56000,"156000 ",2018,"Mussafah, Abu Dhabi",4,"White","X-Trail"
"Toyota",58000,"152000 ",2017,"Mussafah, Abu Dhabi",4,"White","Rav 4"
"Nissan",34900,"136800 ",2016,"Mohammed Bin Zayed City, Abu Dhabi",4,"White","Maxima"
"Chevrolet",75000,"10000 ",1972,"Zayed City (Khalifa City C), Abu Dhabi",2,"Red","Chevelle"
"Land Rover",37000,"200000 ",2010,"Al Nahyan, Abu Dhabi",4,"Silver","LR4"
"Audi",150000,"148000 ",2018,"Yas Island, Abu Dhabi",4,"Silver","S5/RS5"
"Toyota",56000,"130000 ",2017,"Al Shamkha, Abu Dhabi",5,"White","Hilux"
"Jeep",147000,"47500 ",2019,"Al Reem Island, Abu Dhabi",2,"Green","Wrangler"
"Ford",35000,"148000 ",2015,"Al Zahiyah, Abu Dhabi",4,"Gold","Taurus"
"Ford",30000,"112000 ",2009,"Al Mushrif, Abu Dhabi",5,"Blue","Expedition"
"Mercedes-Benz",575000,"850 ",1964,"Abu Dhabi",2,"Blue","SL-Class"
"BMW",150000,"93000 ",2017,"Abu Dhabi",4,"Blue","X5"
"Mercedes-Benz",109500,"40000 ",2018,"Between Two Bridges (Bain Al Jessrain), Abu Dhabi",5,"Silver","GLC"
"Rolls Royce",79999,"60000 ",1987,"Abu Dhabi",4,"Blue","Silver Spur"
"Ford",165000,"122000 ",2017,"Abu Dhabi",2,"Other Color","F-Series Pickup"
"Land Rover",115000,"240000 ",2016,"Al Najda Street, Abu Dhabi",4,"White","Range Rover Sport"
"Renault",43000,"21000 ",2019,"Mussafah, Abu Dhabi",4,"Brown","Duster"
"Nissan",265000,"57000 ",2021,"Al Shawamekh, Abu Dhabi",4,"White","Patrol"
"Mitsubishi",23000,"156000 ",2016,"Al Mushrif, Abu Dhabi",4,"Grey","Lancer"
"Toyota",114000,"0 ",2021,"Al Shawamekh, Abu Dhabi",2,"Silver","Land Cruiser 76 series"
"Toyota",271000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","Land Cruiser"
"Land Rover",875000,"0 ",2023,"Al Shawamekh, Abu Dhabi",4,"White","Range Rover"
"Nissan",252000,"0 ",2023,"Al Shawamekh, Abu Dhabi",4,"White","Patrol"
"Toyota",129000,"0 ",2022,"Al Shawamekh, Abu Dhabi",2,"Beige","Land Cruiser 76 series"
"Nissan",130000,"0 ",2021,"Al Shawamekh, Abu Dhabi",4,"White","Patrol"
"Nissan",303000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","Patrol"
"Mercedes-Benz",280000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","C-Class"
"Mercedes-Benz",275000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","C-Class"
"Toyota",3e+05,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"Brown","Tundra"
"Toyota",280000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","Tundra"
"Toyota",152000,"0 ",2023,"Al Shawamekh, Abu Dhabi",2,"Beige","Land Cruiser 76 series"
"Toyota",198000,"270000 ",2019,"Al Shawamekh, Abu Dhabi",4,"White","Land Cruiser"
"Porsche",128000,"120000 ",2016,"Al Shawamekh, Abu Dhabi",4,"White","Cayenne"
"Toyota",168000,"100000 ",2017,"Al Shawamekh, Abu Dhabi",4,"Gold","Land Cruiser"
"Toyota",185000,"130000 ",2019,"Al Shawamekh, Abu Dhabi",4,"Black","Land Cruiser"
"Land Rover",325000,"70000 ",2018,"Al Shawamekh, Abu Dhabi",4,"Black","Range Rover"
"Peugeot",66900,"52480 ",2019,"Al Matar, Abu Dhabi",4,"White","308 GT LINE"
"Nissan",31500,"160000 ",2018,"Al Nahyan, Abu Dhabi",4,"Black","Altima"
"MINI",35000,"200000 ",2013,"Zayed City (Khalifa City C), Abu Dhabi",4,"White","Countryman"
"Jeep",367999,"7000 ",2022,"Abu Dhabi",5,"Black","Wrangler"
"Mercedes-Benz",63000,"255000 ",2014,"Al Shawamekh, Abu Dhabi",4,"Grey","E-Class"
"Nissan",77000,"25000 ",2019,"Al Shawamekh, Abu Dhabi",4,"White","X-Trail"
"CEVO",22000,"15000 ",2020,"Al Shawamekh, Abu Dhabi",2,"Blue","C"
"Infiniti",86000,"240000 ",2015,"Al Shawamekh, Abu Dhabi",4,"White","QX80"
"Kia",47500,"52000 ",2019,"Al Shawamekh, Abu Dhabi",4,"Silver","Sorento"
"Nissan",46000,"188000 ",2015,"Al Shawamekh, Abu Dhabi",4,"Green","Pathfinder"
"Nissan",293000,"38000 ",2021,"Al Shawamekh, Abu Dhabi",4,"Black","Patrol"
"Audi",59000,"140000 ",2014,"Al Shawamekh, Abu Dhabi",4,"Black","A7"
"Mercedes-Benz",59000,"204000 ",2015,"Al Shawamekh, Abu Dhabi",4,"Red","CLA"
"Hyundai",56000,"140000 ",2019,"Al Shawamekh, Abu Dhabi",3,"Grey","Veloster"
"BMW",129000,"160000 ",2016,"Al Shawamekh, Abu Dhabi",4,"White","7-Series"
"Porsche",179000,"135000 ",2020,"Al Shawamekh, Abu Dhabi",4,"White","Macan"
"Bentley",79000,"95000 ",2006,"Al Shawamekh, Abu Dhabi",4,"Black","Continental Flying Spur"
"Land Rover",112000,"200000 ",2014,"Al Shawamekh, Abu Dhabi",4,"White","Range Rover"
"MINI",65000,"32000 ",2018,"Abu Dhabi",2,"Green","Cooper"
"Land Rover",123000,"182000 ",2015,"Al Shamkha, Abu Dhabi",4,"White","Range Rover"
"GMC",79000,"163000 ",2018,"Al Shamkha, Abu Dhabi",2,"Red","Sierra"
"Nissan",126000,"7000 ",2021,"Al Shamkha, Abu Dhabi",4,"White","Patrol"
"Nissan",149000,"116000 ",2020,"Al Shamkha, Abu Dhabi",4,"White","Patrol"
"Nissan",148000,"70000 ",2021,"Al Shamkha, Abu Dhabi",5,"Black","Patrol"
"Nissan",59000,"65000 ",2018,"Al Shawamekh, Abu Dhabi",4,"Silver","Kicks"
"Land Rover",149000,"179000 ",2016,"Al Shawamekh, Abu Dhabi",4,"Red","Range Rover"
"Volkswagen",79000,"131000 ",2018,"Al Shawamekh, Abu Dhabi",4,"White","Teramont"
"Infiniti",49000,"170000 ",2015,"Al Shawamekh, Abu Dhabi",4,"Silver","QX50"
"Ford",49500,"102000 ",2017,"Al Shawamekh, Abu Dhabi",4,"Black","Escape"
"Chevrolet",65000,"50000 ",2018,"Al Shawamekh, Abu Dhabi",4,"White","Impala"
"Chrysler",39000,"120000 ",2016,"Al Shawamekh, Abu Dhabi",4,"Black","300M/300C"
"BMW",119000,"11000 ",2017,"Al Shawamekh, Abu Dhabi",4,"White","X4"
"Nissan",39000,"103000 ",2016,"Al Shawamekh, Abu Dhabi",5,"Grey","Juke"
"Jeep",40000,"107098 ",2009,"Abu Dhabi",2,"Orange","Wrangler"
"Lexus",55000,"140000 ",2014,"Al Shawamekh, Abu Dhabi",4,"White","IS-Series"
"Ford",48500,"180000 ",2016,"Al Shamkha, Abu Dhabi",5,"Silver","Explorer"
"BMW",380000,"28382 ",2022,"Al Muroor, Abu Dhabi",5,"Black","X5"
"Mercedes-Benz",149000,"164000 ",2016,"Al Shawamekh, Abu Dhabi",4,"White","S-Class"
"Mercedes-Benz",99000,"140000 ",2016,"Al Shawamekh, Abu Dhabi",2,"White","C-Class"
"Toyota",305000,"30000 ",2021,"Al Shawamekh, Abu Dhabi",4,"White","Land Cruiser"
"Volkswagen",129000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"Grey","ID.4"
"Lexus",149000,"149000 ",2019,"Al Shawamekh, Abu Dhabi",4,"Silver","ES-Series"
"Toyota",225000,"35000 ",2018,"Al Shawamekh, Abu Dhabi",4,"Grey","Land Cruiser"
"Jeep",165000,"24200 ",2020,"Zayed City (Khalifa City C), Abu Dhabi",4,"Silver","Wrangler Unlimited"
"Toyota",45000,"47986 ",2020,"Mohammed Bin Zayed City, Abu Dhabi",4,"White","Avanza"
"Mercedes-Benz",36500,"210000 ",2013,"Al Mushrif, Abu Dhabi",4,"Grey","C-Class"
"Kia",33500,"90000 ",2019,"Al Mushrif, Abu Dhabi",4,"Black","Rio"
"Ford",35500,"215000 ",2014,"Al Mushrif, Abu Dhabi",2,"Grey","Mustang"
"Mercedes-Benz",24500,"170000 ",2008,"Al Mushrif, Abu Dhabi",4,"Black","S-Class"
"Lexus",21500,"270000 ",2005,"Al Mushrif, Abu Dhabi",4,"Grey","LS-Series"
"BMW",14500,"235000 ",2008,"Al Mushrif, Abu Dhabi",4,"Gold","3-Series"
"Renault",19500,"210000 ",2017,"Al Mushrif, Abu Dhabi",4,"Blue","Symbol"
"Ford",18500,"220000 ",2013,"Al Mushrif, Abu Dhabi",4,"Other Color","Fiesta"
"Mercedes-Benz",24500,"180000 ",2008,"Al Mushrif, Abu Dhabi",4,"Gold","S-Class"
"Mercedes-Benz",29500,"230000 ",2012,"Al Mushrif, Abu Dhabi",4,"Black","C-Class"
"BMW",25500,"180000 ",2012,"Al Mushrif, Abu Dhabi",4,"White","3-Series"
"Suzuki",27500,"190000 ",2016,"Al Mushrif, Abu Dhabi",4,"Grey","Grand Vitara"
"GMC",115000,"168000 ",2017,"Al Reem Island, Abu Dhabi",5,"White","Yukon"
"Jeep",76000,"45000 ",2017,"Al Reem Island, Abu Dhabi",4,"Red","Wrangler"
"Mercedes-Benz",48000,"170000 ",2012,"Al Mushrif, Abu Dhabi",4,"White","E-Class"
"Land Rover",68000,"145000 ",2014,"Al Muroor, Abu Dhabi",4,"White","Range Rover Evoque"
"BMW",59500,"95000 ",2016,"Al Mushrif, Abu Dhabi",4,"Grey","5-Series"
"Mercedes-Benz",61500,"160000 ",2013,"Al Mushrif, Abu Dhabi",4,"White","CLS-Class"
"Ford",33000,"140000 ",2017,"Al Muroor, Abu Dhabi",4,"White","Ecosport"
"Land Rover",98000,"165000 ",2014,"Hadbat Al Zaafran, Abu Dhabi",5,"Gold","Range Rover"
"Hummer",55000,"180000 ",2005,"Hadbat Al Zaafran, Abu Dhabi",5,"Silver","H2"
"Nissan",49000,"65000 ",2018,"Al Mushrif, Abu Dhabi",4,"White","Maxima"
"Dodge",36000,"166000 ",2014,"Al Mushrif, Abu Dhabi",4,"Grey","Charger"
"Mercedes-Benz",142000,"162000 ",2015,"Hadbat Al Zaafran, Abu Dhabi",5,"White","S-Class"
"Dodge",57000,"176000 ",2016,"Hadbat Al Zaafran, Abu Dhabi",2,"Black","Pickup"
"Volkswagen",49000,"160000 ",2015,"Hadbat Al Zaafran, Abu Dhabi",5,"Black","Golf"
"Dodge",27500,"180000 ",2012,"Al Mushrif, Abu Dhabi",4,"Grey","Durango"
"Chevrolet",77000,"104000 ",2018,"Hadbat Al Zaafran, Abu Dhabi",2,"Red","Camaro"
"Renault",489800,"32451 ",2019,"Al Matar, Abu Dhabi",4,"Orange","Captur"
"Nissan",259000,"7335 ",2022,"Mussafah, Abu Dhabi",5,"White","Patrol"
"Nissan",266000,"76508 ",2020,"Mussafah, Abu Dhabi",5,"Black","Patrol"
"Nissan",215000,"89618 ",2020,"Mussafah, Abu Dhabi",5,"Brown","Patrol"
"Nissan",335000,"19500 ",2021,"Mussafah, Abu Dhabi",5,"White","Patrol"
"Nissan",219000,"23542 ",2020,"Mussafah, Abu Dhabi",5,"Brown","Patrol"
"Nissan",219000,"33699 ",2020,"Mussafah, Abu Dhabi",5,"Silver","Patrol"
"Nissan",219000,"41102 ",2020,"Mussafah, Abu Dhabi",5,"White","Patrol"
"Nissan",266600,"37180 ",2020,"Mussafah, Abu Dhabi",5,"Grey","Patrol"
"Nissan",245000,"101825 ",2019,"Mussafah, Abu Dhabi",5,"White","Patrol"
"Nissan",129900,"37000 ",2021,"Mussafah, Abu Dhabi",5,"White","Patrol"
"Nissan",105000,"15 ",2020,"Mussafah, Abu Dhabi",4,"White","Navara"
"Mitsubishi",69900,"39945 ",2015,"Mussafah, Abu Dhabi",4,"White","Canter"
"Dodge",93000,"78912 ",2019,"Mussafah, Abu Dhabi",4,"White","Charger"
"Nissan",105000,"88484 ",2018,"Mussafah, Abu Dhabi",5,"Grey","Pathfinder"
"Nissan",115000,"66946 ",2020,"Mussafah, Abu Dhabi",5,"White","Pathfinder"
"Nissan",69000,"89419 ",2018,"Mussafah, Abu Dhabi",4,"Silver","Altima"
"Nissan",30000,"200000 ",2016,"Masdar City, Abu Dhabi",5,"Silver","Juke"
"Toyota",23000,"470000 ",2012,"Zayed City (Khalifa City C), Abu Dhabi",4,"Gold","Camry"
"Volkswagen",15000,"170000 ",2010,"Mohammed Bin Zayed City, Abu Dhabi",4,"White","CC"
"Mercedes-Benz",55000,"123000 ",2013,"Al Najda Street, Abu Dhabi",4,"White","E-Class"
"Mercedes-Benz",24000,"70000 ",2002,"Al Shamkha, Abu Dhabi",4,"Green","S-Class"
"Nissan",21500,"147000 ",2013,"Abu Dhabi",4,"White","Juke"
"GMC",37000,"159000 ",2011,"Khalifa City A, Abu Dhabi",5,"Black","Yukon"
"Suzuki",89500,"29000 ",2020,"Al Shawamekh, Abu Dhabi",3,"White","Jimny"
"Nissan",29500,"195000 ",2015,"Al Shawamekh, Abu Dhabi",4,"Brown","Altima"
"Mercedes-Benz",89000,"90100 ",2015,"Abu Dhabi",4,"Black","M-Class"
"Toyota",156000,"0 ",2023,"Al Shawamekh, Abu Dhabi",2,"Black","FJ Cruiser"
"Toyota",119000,"0 ",2021,"Al Shawamekh, Abu Dhabi",2,"White","Land Cruiser 76 series"
"BMW",33000,"168000 ",2012,"Abu Dhabi",4,"Silver","3-Series"
"Toyota",132000,"0 ",2022,"Al Shawamekh, Abu Dhabi",2,"Beige","Land Cruiser 76 series"
"Toyota",299000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","Land Cruiser"
"Nissan",96000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","Altima"
"Toyota",114000,"0 ",2023,"Al Shawamekh, Abu Dhabi",4,"White","Rav 4"
"Volvo",31000,"110000 ",2012,"Khalifa City A, Abu Dhabi",5,"Brown","XC60"
"Ford",29000,"145000 ",2015,"Khalifa City A, Abu Dhabi",4,"White","Escape"
"Kia",40500,"90500 ",2015,"Al Reem Island, Abu Dhabi",5,"Grey","Cerato"
"Mitsubishi",79900,"112000 ",2017,"Al Matar, Abu Dhabi",4,"Silver","Montero Sport"
"Peugeot",69900,"79979 ",2020,"Al Matar, Abu Dhabi",4,"Grey","508"
"Toyota",72000,"83000 ",2020,"Al Shawamekh, Abu Dhabi",4,"White","Hilux"
"Toyota",42500,"155000 ",2017,"Baniyas, Abu Dhabi",4,"Silver","Camry"
"Cadillac",49900,"238600 ",2014,"Al Matar, Abu Dhabi",4,"White","Escalade"
"MINI",48000,"142000 ",2014,"Zayed City (Khalifa City C), Abu Dhabi",4,"White","Cooper"
"Volkswagen",77000,"152000 ",2016,"Al Qurm, Abu Dhabi",4,"Red","Golf R"
"Chevrolet",85000,"110000 ",2018,"Zayed City (Khalifa City C), Abu Dhabi",4,"White","Traverse"
"Toyota",32000,"350000 ",2007,"Mussafah, Abu Dhabi",2,"White","Tundra"
"Ford",29500,"170000 ",2013,"Al Mushrif, Abu Dhabi",4,"Blue","Edge"
"Chevrolet",34000,"120000 ",2015,"Al Zaab, Abu Dhabi",5,"White","Traverse"
"Mercedes-Benz",44992,"230000 ",2011,"Al Nahyan, Abu Dhabi",5,"White","GL-Class"
"Genesis",330000,"1000 ",2023,"Zayed City (Khalifa City C), Abu Dhabi",4,"White","GV80"
"Nissan",75000,"68528 ",2018,"Mussafah, Abu Dhabi",5,"Red","Altima"
"Nissan",95000,"125867 ",2021,"Mussafah, Abu Dhabi",5,"Grey","Xterra"
"Infiniti",199000,"23452 ",2021,"Mussafah, Abu Dhabi",3,"Black","Q60"
"Infiniti",205000,"84469 ",2019,"Mussafah, Abu Dhabi",5,"Brown","QX80"
"Infiniti",225000,"36690 ",2018,"Mussafah, Abu Dhabi",5,"Blue","QX80"
"Infiniti",249000,"69260 ",2020,"Mussafah, Abu Dhabi",5,"Beige","QX80"
"Toyota",69900,"87534 ",2015,"Mussafah, Abu Dhabi",5,"White","Fortuner"
"Infiniti",225000,"76000 ",2018,"Mussafah, Abu Dhabi",5,"White","QX80"
"Mitsubishi",94500,"52601 ",2019,"Mussafah, Abu Dhabi",5,"White","Montero Sport"
"Toyota",95000,"45114 ",2021,"Mussafah, Abu Dhabi",4,"White","Hilux"
"Mercedes-Benz",236000,"71000 ",2018,"Al Shawamekh, Abu Dhabi",4,"Black","S-Class"
"MINI",120000,"1600 ",2022,"Al Shawamekh, Abu Dhabi",2,"Silver","Cooper"
"Chevrolet",133000,"40000 ",2021,"Al Shawamekh, Abu Dhabi",4,"Red","Silverado"
"Infiniti",17500,"177000 ",2008,"Al Shawamekh, Abu Dhabi",4,"Brown","FX45/FX35"
"Mercedes-Benz",190000,"5000 ",2021,"Al Shawamekh, Abu Dhabi",4,"White","E-Class"
"Toyota",205000,"1180 ",2021,"Al Shawamekh, Abu Dhabi",4,"Blue","Tundra"
"Toyota",120000,"79000 ",2018,"Al Shawamekh, Abu Dhabi",4,"White","Tundra"
"Land Rover",129000,"134000 ",2014,"Al Shawamekh, Abu Dhabi",4,"White","Range Rover"
"Toyota",92000,"36000 ",2020,"Al Shawamekh, Abu Dhabi",4,"White","Camry"
"MINI",88000,"17000 ",2021,"Al Shawamekh, Abu Dhabi",4,"Grey","Cooper"
"Audi",179000,"42000 ",2019,"Al Shawamekh, Abu Dhabi",5,"Grey","Q7"
"Land Rover",399000,"31000 ",2019,"Al Shawamekh, Abu Dhabi",4,"White","Range Rover"
"Mercedes-Benz",169000,"160000 ",2016,"Al Shawamekh, Abu Dhabi",4,"Black","S-Class"
"Land Rover",109000,"238000 ",2013,"Al Shawamekh, Abu Dhabi",4,"Gold","Range Rover"
"Mercedes-Benz",759000,"63000 ",2021,"Al Shawamekh, Abu Dhabi",5,"Black","G-Class"
"Fiat",33000,"66000 ",2013,"Al Shawamekh, Abu Dhabi",2,"White","Fiat-500"
"Tesla",248000,"33000 ",2022,"Al Shawamekh, Abu Dhabi",4,"Black","Model Y"
"BMW",49000,"214000 ",2014,"Al Shawamekh, Abu Dhabi",4,"White","5-Series"
"BMW",139500,"166000 ",2016,"Al Shawamekh, Abu Dhabi",4,"Gold","7-Series"
"Land Rover",307000,"65000 ",2019,"Al Shawamekh, Abu Dhabi",5,"Black","Range Rover"
"Toyota",269000,"30000 ",2022,"Al Shawamekh, Abu Dhabi",5,"White","Land Cruiser"
"Porsche",64000,"268000 ",2012,"Al Shawamekh, Abu Dhabi",4,"Silver","Cayenne"
"MINI",1e+05,"1200 ",2021,"Al Shawamekh, Abu Dhabi",3,"Blue","Cooper"
"Land Rover",110000,"216000 ",2014,"Al Shawamekh, Abu Dhabi",4,"White","Range Rover"
"Dodge",139000,"41000 ",2020,"Al Shawamekh, Abu Dhabi",4,"Brown","Ram"
"Porsche",260000,"158000 ",2018,"Al Shawamekh, Abu Dhabi",4,"Brown","Panamera"
"Ford",97000,"152000 ",2013,"Al Shawamekh, Abu Dhabi",4,"White","Pickup"
"Porsche",119000,"149500 ",2015,"Al Shawamekh, Abu Dhabi",4,"White","Macan"
"Nissan",121000,"23000 ",2021,"Al Shawamekh, Abu Dhabi",4,"White","Maxima"
"Dodge",98000,"19000 ",2021,"Al Shawamekh, Abu Dhabi",4,"Red","Charger"
"Mercedes-Benz",37000,"164000 ",2013,"Al Shamkha, Abu Dhabi",2,"Black","E-Class Coupe"
"BMW",35000,"162000 ",2013,"Abu Dhabi",5,"Grey","X5"
"Mercedes-Benz",198000,"44000 ",2020,"Al Shawamekh, Abu Dhabi",2,"Black","C-Class Coupe"
"Mercedes-Benz",42500,"197000 ",2011,"Zayed City (Khalifa City C), Abu Dhabi",5,"White","GL-Class"
"Peugeot",19500,"110000 ",2013,"Al Mushrif, Abu Dhabi",4,"Red","207"
"Nissan",93000,"61000 ",2020,"Al Shamkha, Abu Dhabi",4,"White","Altima"
"Kia",34999,"119000 ",2016,"Mussafah, Abu Dhabi",4,"White","Cerato"
"Volkswagen",35000,"170000 ",2015,"Al Shawamekh, Abu Dhabi",4,"White","Tiguan"
"Toyota",147000,"107000 ",2021,"Al Shawamekh, Abu Dhabi",4,"White","Prado"
"Toyota",46000,"290000 ",2017,"Zayed City (Khalifa City C), Abu Dhabi",4,"White","Hilux"
"Toyota",86000,"330000 ",2013,"Al Shawamekh, Abu Dhabi",4,"White","Land Cruiser"
"Nissan",75000,"60000 ",2021,"Zayed City (Khalifa City C), Abu Dhabi",4,"White","X-Trail"
"Toyota",385000,"35000 ",2022,"Al Shamkha, Abu Dhabi",4,"White","Land Cruiser"
"Nissan",168000,"3000 ",2022,"Al Shamkha, Abu Dhabi",4,"White","Patrol"
"Toyota",130000,"10000 ",2022,"Al Shamkha, Abu Dhabi",2,"White","Pickup"
"Nissan",184000,"0 ",2022,"Al Shawamekh, Abu Dhabi",5,"Black","Patrol"
"BMW",395000,"15108 ",2018,"Corniche Area, Abu Dhabi",4,"Green","3-Series"
"Toyota",27000,"161000 ",2016,"Al Muroor, Abu Dhabi",4,"Grey","Yaris"
"Audi",10000,"223625 ",2007,"Corniche Area, Abu Dhabi",4,"Black","A4"
"Kia",55000,"71000 ",2019,"Al Shawamekh, Abu Dhabi",4,"White","K3"
"Kia",64000,"51000 ",2020,"Al Shawamekh, Abu Dhabi",4,"Black","K3"
"Dodge",63000,"300000 ",2017,"Al Shawamekh, Abu Dhabi",4,"White","Durango"
"MINI",48000,"90000 ",2015,"Al Shawamekh, Abu Dhabi",4,"White","Cooper"
"BMW",73000,"150000 ",2015,"Al Shawamekh, Abu Dhabi",4,"White","X4"
"Mitsubishi",29500,"149000 ",2016,"Al Shawamekh, Abu Dhabi",4,"White","L200"
"Chevrolet",75000,"138000 ",2018,"Al Shawamekh, Abu Dhabi",4,"White","Impala"
"Mitsubishi",26500,"127000 ",2017,"Al Shawamekh, Abu Dhabi",4,"White","Lancer"
"Nissan",31500,"103000 ",2020,"Al Shawamekh, Abu Dhabi",4,"White","Micra"
"Nissan",189500,"154000 ",2020,"Al Shawamekh, Abu Dhabi",4,"Gold","Patrol"
"Nissan",59500,"23000 ",2020,"Al Shawamekh, Abu Dhabi",4,"White","Navara"
"Hyundai",63500,"268000 ",2019,"Al Shawamekh, Abu Dhabi",4,"Grey","H1"
"Hyundai",56500,"58000 ",2019,"Al Shawamekh, Abu Dhabi",4,"White","Creta"
"Chevrolet",38500,"207000 ",2018,"Al Shawamekh, Abu Dhabi",4,"White","Malibu"
"Toyota",33500,"280000 ",2015,"Al Shawamekh, Abu Dhabi",4,"White","Innova"
"Nissan",42500,"134000 ",2017,"Al Shawamekh, Abu Dhabi",4,"White","Altima"
"Toyota",59500,"22000 ",2017,"Al Shawamekh, Abu Dhabi",4,"White","Camry"
"Nissan",44500,"164000 ",2019,"Al Shawamekh, Abu Dhabi",5,"White","Urvan"
"Toyota",46500,"95000 ",2020,"Al Shawamekh, Abu Dhabi",4,"White","Avanza"
"Toyota",328000,"0 ",2022,"Al Shawamekh, Abu Dhabi",5,"Black","Land Cruiser"
"Mercedes-Benz",50000,"199274 ",2016,"Zayed City (Khalifa City C), Abu Dhabi",2,"White","E-Class"
"Nissan",27500,"130000 ",2013,"Mohammed Bin Zayed City, Abu Dhabi",5,"Black","Pathfinder"
"Jeep",150000,"55000 ",2021,"Abu Dhabi",2,"Grey","Wrangler"
"Toyota",33500,"164000 ",2013,"Al Muroor, Abu Dhabi",3,"White","Hiace"
"Toyota",42000,"146000 ",2009,"Zayed City (Khalifa City C), Abu Dhabi",4,"White","Prado"
"Nissan",49500,"155000 ",2019,"Al Shawamekh, Abu Dhabi",4,"White","Navara"
"Nissan",175000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"Black","Patrol"
"Mercedes-Benz",71000,"206000 ",2015,"Al Shawamekh, Abu Dhabi",4,"Black","E-Class"
"Mitsubishi",47000,"124000 ",2016,"Khalifa City A, Abu Dhabi",3,"Silver","Pajero"
"Toyota",85000,"38147 ",2021,"Al Shawamekh, Abu Dhabi",4,"White","Hilux"
"Nissan",347000,"0 ",2021,"Al Shawamekh, Abu Dhabi",4,"White","Patrol"
"Land Rover",129000,"138000 ",2016,"Al Shawamekh, Abu Dhabi",4,"White","Range Rover Sport"
"Kia",35000,"222000 ",2015,"Al Shawamekh, Abu Dhabi",4,"White","Sportage"
"Nissan",46000,"148000 ",2016,"Al Shawamekh, Abu Dhabi",4,"Tan","X-Trail"
"Nissan",368000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"Black","Patrol"
"Volkswagen",18500,"275000 ",2009,"Zayed City (Khalifa City C), Abu Dhabi",5,"Grey","Golf"
"Audi",79000,"120000 ",2017,"Al Khalidiyah, Abu Dhabi",4,"Blue","A4"
"Nissan",219000,"68000 ",2021,"Al Shawamekh, Abu Dhabi",4,"Gold","Patrol"
"Mazda",49000,"143000 ",2015,"Al Shawamekh, Abu Dhabi",4,"Grey","CX-9"
"Mercedes-Benz",139000,"123000 ",2018,"Al Shawamekh, Abu Dhabi",4,"Grey","C-Class"
"Chevrolet",179000,"73000 ",2021,"Al Shawamekh, Abu Dhabi",4,"Grey","Silverado"
"MINI",55000,"114000 ",2016,"Al Shawamekh, Abu Dhabi",4,"Blue","Countryman"
"Porsche",119000,"220000 ",2016,"Al Shawamekh, Abu Dhabi",4,"White","Cayenne"
"Mercedes-Benz",129000,"117000 ",2020,"Al Shawamekh, Abu Dhabi",4,"Blue","A200"
"GMC",135000,"85000 ",2020,"Al Shawamekh, Abu Dhabi",4,"Grey","Sierra"
"Nissan",235000,"42000 ",2021,"Al Shawamekh, Abu Dhabi",4,"Black","Patrol"
"GMC",139000,"106000 ",2021,"Al Shawamekh, Abu Dhabi",4,"Blue","Sierra"
"Dodge",49000,"160000 ",2014,"Al Shawamekh, Abu Dhabi",2,"Black","Challenger"
"Toyota",219000,"219000 ",2020,"Al Shawamekh, Abu Dhabi",4,"White","Land Cruiser"
"Dodge",129000,"108000 ",2019,"Al Shawamekh, Abu Dhabi",4,"Black","Ram"
"Nissan",249000,"52000 ",2021,"Al Shawamekh, Abu Dhabi",4,"Gold","Patrol"
"Land Rover",139000,"174000 ",2014,"Al Shawamekh, Abu Dhabi",4,"White","Range Rover"
"Lexus",139000,"391000 ",2015,"Al Shawamekh, Abu Dhabi",4,"White","LX-Series"
"Toyota",310000,"0 ",2022,"Abu Dhabi",4,"Grey","Tundra"
